Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolder_Keystone_3034_1x20mm,1,Battery_Cell,
"C1, C2",CP_Radial_D5.0mm_P2.50mm,2,100uF,
"C3, C4, C6",0402,3,10uF,
C5,0402,1,100nF,
"D1, D2, D3, D4, D8, D9",D_MiniMELF,6,BZV55B3V3,
"D5, D6, D7",D_DO-35_SOD27_P7.62mm_Horizontal,3,1N4148,
J1,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,Grauwasser,
J2,PinHeader_1x06_P2.54mm_Vertical,1,BNO055 IMU,
J3,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,BME680 #0 Innen,
J4,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,RS485,
J5,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,BME680 #1 Außen,
J6,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,HX711 GasWaage,
J7,Molex_Micro-Fit_3.0_43045-1012_2x05_P3.00mm_Vertical,1,LT452 Malibu,
J8,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,Frischwasser,
"Q1, Q2, Q3",SOT-23,3,BSS138,
Q4,SOT-23,1,AO3401A,
"R1, R11, R13, R15, R2",0402,5,100,
"R10, R18, R20, R8",0402,4,22k,
"R12, R14, R16, R17, R19, R21, R4, R5, R7, R9",0402,10,100k,
R22,0402,1,10k,
R3,0402,1,120,
R6,0402,1,1k,
TP1,PinHeader_1x02_P2.54mm_Vertical,1,USB PWR,
TP2,TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,1,Display Touch,
U1,ESP32-S3-DevKitC,1,ESP32-S3-DevKitC,
U2,Converter_DCDC_TRACO_TSR2-xxxx_THT,1,TSR2-2450,
U3,SOT-223-3_TabPin2,1,LDL1117S33R,
U4,DIP-8_W7.62mm,1,SP3485CP,
U5,SOIC-8_3.9x4.9mm_P1.27mm,1,PCF8523T,
Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768,
