Designator,Mid X,Mid Y,Rotation,Layer
BT1,108.5,-56.5,0.0,top
C1,86.25,-49.0,0.0,top
C2,80.455113,-68.5,180.0,top
C3,110.62,-94.9,180.0,top
C4,104.3,-87.28,270.0,top
C5,129.78,-89.5,180.0,top
C6,117.7,-78.02,90.0,top
D1,137.0,-103.0,0.0,top
D2,137.0,-111.5,0.0,top
D3,146.0,-76.3,0.0,top
D4,170.85,-114.2,0.0,top
D5,181.0,-79.7,90.0,top
D6,181.0,-91.6,270.0,top
D7,181.0,-103.2,270.0,top
D8,181.95,-113.9,0.0,top
D9,158.45,-76.4,0.0,top
J1,124.7,-102.5,180.0,top
J2,151.39,-114.1,90.0,top
J3,109.5,-102.525,180.0,top
J4,76.7,-99.85,90.0,top
J5,109.45,-114.7,180.0,top
J6,91.65,-114.6,180.0,top
J7,78.05,-83.0,90.0,top
J8,124.7,-114.6,180.0,top
Q1,173.6375,-79.35,180.0,top
Q2,173.7625,-91.9,180.0,top
Q3,173.8375,-103.95,180.0,top
Q4,195.5625,-56.45,0.0,top
R1,129.2,-74.79,270.0,top
R10,171.0,-117.7,0.0,top
R11,167.6,-83.4,0.0,top
R12,167.8,-78.91,90.0,top
R13,167.69,-95.5,0.0,top
R14,167.5,-90.41,90.0,top
R15,167.7,-106.1,0.0,top
R16,167.9,-100.71,90.0,top
R17,176.19,-114.0,0.0,top
R18,181.99,-117.7,0.0,top
R19,162.8,-81.0,0.0,top
R2,134.6,-74.89,270.0,top
R20,157.99,-81.0,0.0,top
R21,200.0625,-57.0,270.0,top
R22,196.0625,-61.44,270.0,top
R3,133.79,-89.6,0.0,top
R4,136.49,-116.5,0.0,top
R5,136.99,-98.0,0.0,top
R6,117.39,-72.5,0.0,top
R7,149.49,-81.5,0.0,top
R8,145.0,-81.5,0.0,top
R9,165.3,-113.8,0.0,top
TP1,192.1,-112.505,180.0,top
U1,158.95,-58.56816,270.0,top
U2,80.96,-59.1,90.0,top
U3,112.1,-87.4,270.0,top
U4,133.0,-82.405,270.0,top
U5,110.6,-74.9,270.0,top
Y1,102.875,-73.995,270.0,top
