### Footprint positions - created on 2026-03-07T23:20:35+0100 ###
### Printed by KiCad version 9.0.7
## Unit = mm, Angle = deg.
## Side : top
# Ref     Val               Package                                                    PosX       PosY       Rot  Side
BT1       Battery_Cell      BatteryHolder_Keystone_3034_1x20mm                     108.5000   -56.5000    0.0000  top
C1        100uF             CP_Radial_D5.0mm_P2.50mm                                85.0000   -49.0000    0.0000  top
C2        100uF             CP_Radial_D5.0mm_P2.50mm                                81.7051   -68.5000  180.0000  top
C3        10uF              C_0402_1005Metric                                      110.6200   -94.9000  180.0000  top
C4        10uF              C_0402_1005Metric                                      104.3000   -87.2800  -90.0000  top
C5        100nF             C_0402_1005Metric                                      129.7800   -89.5000  180.0000  top
C6        10uF              C_0402_1005Metric                                      117.7000   -78.0200   90.0000  top
D1        BZV55B3V3         D_MiniMELF                                             137.0000  -103.0000    0.0000  top
D2        BZV55B3V3         D_MiniMELF                                             137.0000  -111.5000    0.0000  top
D3        BZV55B3V3         D_MiniMELF                                             146.0000   -76.3000    0.0000  top
D4        BZV55B3V3         D_MiniMELF                                             170.8500  -114.2000    0.0000  top
D5        1N4148            D_DO-35_SOD27_P7.62mm_Horizontal                       181.0000   -83.5100   90.0000  top
D6        1N4148            D_DO-35_SOD27_P7.62mm_Horizontal                       181.0000   -87.7900  -90.0000  top
D7        1N4148            D_DO-35_SOD27_P7.62mm_Horizontal                       181.0000   -99.3900  -90.0000  top
D8        BZV55B3V3         D_MiniMELF                                             181.9500  -113.9000    0.0000  top
D9        BZV55B3V3         D_MiniMELF                                             158.4500   -76.4000    0.0000  top
J1        Grauwasser        JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical                  127.2000  -102.5000  180.0000  top
J2        BNO055_IMU        PinHeader_1x06_P2.54mm_Vertical                        145.0400  -114.1000   90.0000  top
J3        BME680_#0_Innen   JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical                  113.2500  -102.5250  180.0000  top
J4        RS485             JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical                   76.7000  -101.1000   90.0000  top
J5        BME680_#1_Außen   JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical                  113.2000  -114.7000  180.0000  top
J6        HX711_GasWaage    JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical                   95.4000  -114.6000  180.0000  top
J7        LT452_Malibu      Molex_Micro-Fit_3.0_43045-1012_2x05_P3.00mm_Vertical    76.2000   -89.0000   90.0000  top
J8        Frischwasser      JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical                  127.2000  -114.6000  180.0000  top
Q1        BSS138            SOT-23                                                 173.6375   -79.3500    0.0000  top
Q2        BSS138            SOT-23                                                 173.7625   -91.9000    0.0000  top
Q3        BSS138            SOT-23                                                 173.8375  -103.9500    0.0000  top
Q4        AO3401A           SOT-23                                                 195.5625   -56.4500  180.0000  top
R1        100               R_0402_1005Metric                                      129.2000   -74.7900  -90.0000  top
R2        100               R_0402_1005Metric                                      134.6000   -74.8900  -90.0000  top
R3        120               R_0402_1005Metric                                      133.7900   -89.6000    0.0000  top
R4        100k              R_0402_1005Metric                                      136.4900  -116.5000    0.0000  top
R5        100k              R_0402_1005Metric                                      136.9900   -98.0000    0.0000  top
R6        1k                R_0402_1005Metric                                      117.3900   -72.5000    0.0000  top
R7        100k              R_0402_1005Metric                                      149.4900   -81.5000    0.0000  top
R8        22k               R_0402_1005Metric                                      145.0000   -81.5000    0.0000  top
R9        100k              R_0402_1005Metric                                      165.3000  -113.8000    0.0000  top
R10       22k               R_0402_1005Metric                                      171.0000  -117.7000    0.0000  top
R11       100               R_0402_1005Metric                                      167.6000   -83.4000    0.0000  top
R12       100k              R_0402_1005Metric                                      167.8000   -78.9100   90.0000  top
R13       100               R_0402_1005Metric                                      167.6900   -95.5000    0.0000  top
R14       100k              R_0402_1005Metric                                      167.5000   -90.4100   90.0000  top
R15       100               R_0402_1005Metric                                      167.7000  -106.1000    0.0000  top
R16       100k              R_0402_1005Metric                                      167.9000  -100.7100   90.0000  top
R17       100k              R_0402_1005Metric                                      176.1900  -114.0000    0.0000  top
R18       22k               R_0402_1005Metric                                      181.9900  -117.7000    0.0000  top
R19       100k              R_0402_1005Metric                                      162.8000   -81.0000    0.0000  top
R20       22k               R_0402_1005Metric                                      157.9900   -81.0000    0.0000  top
R21       100k              R_0402_1005Metric                                      200.0625   -57.0000  -90.0000  top
R22       10k               R_0402_1005Metric                                      196.0625   -61.4400  -90.0000  top
TP1       USB_PWR           PinHeader_1x02_P2.54mm_Vertical                        192.1000  -113.7750  180.0000  top
U1        ESP32-S3-DevKitC  ESP32-S3-DevKitC                                       185.6200   -47.1400  -90.0000  top
U2        TSR2-2450         Converter_DCDC_TRACO_TSR2-xxxx_THT                      78.4200   -59.1000   90.0000  top
U3        LDL1117S33R       SOT-223-3_TabPin2                                      112.1000   -87.4000   90.0000  top
U4        SP3485CP          DIP-8_W7.62mm                                          136.8100   -78.5950  -90.0000  top
U5        PCF8523T          SOIC-8_3.9x4.9mm_P1.27mm                               110.6000   -74.9000    0.0000  top
Y1        32.768            Crystal_SMD_3215-2Pin_3.2x1.5mm                        102.8750   -73.9950  -90.0000  top
## End
