"ID";"Bezeichner";"Footprint";"Stückzahl";"Bezeichnung";"Anbieter und Referenz";
1;"TP2";"TestPoint_THTPad_1.0x1.0mm_Drill0.5mm";1;"Display Touch";;;
2;"R22";"R_0402_1005Metric";1;"10k";;;
3;"R21,R16,R12,R14,R4,R7,R17,R19,R9,R5";"R_0402_1005Metric";10;"100k";;;
4;"Q4";"SOT-23";1;"AO3401A";;;
5;"R11,R1,R13,R2,R15";"R_0402_1005Metric";5;"100";;;
6;"C2,C1";"CP_Radial_D5.0mm_P2.50mm";2;"100uF";;;
7;"Q1,Q2,Q3";"SOT-23";3;"BSS138";;;
8;"TP1";"PinHeader_1x02_P2.54mm_Vertical";1;"USB PWR";;;
9;"J8";"JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical";1;"Frischwasser";;;
10;"Y1";"Crystal_SMD_3215-2Pin_3.2x1.5mm";1;"32.768";;;
11;"D1,D3,D4,D2,D9,D8";"D_MiniMELF";6;"BZV55B3V3";;;
12;"J4";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";1;"RS485";;;
13;"C4,C3,C6";"C_0402_1005Metric";3;"10uF";;;
14;"J3";"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical";1;"BME680 #0 Innen";;;
15;"J5";"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical";1;"BME680 #1 Außen";;;
16;"R8,R18,R10,R20";"R_0402_1005Metric";4;"22k";;;
17;"U4";"DIP-8_W7.62mm";1;"SP3485CP";;;
18;"R3";"R_0402_1005Metric";1;"120";;;
19;"D6,D5,D7";"D_DO-35_SOD27_P7.62mm_Horizontal";3;"1N4148";;;
20;"U5";"SOIC-8_3.9x4.9mm_P1.27mm";1;"PCF8523T";;;
21;"C5";"C_0402_1005Metric";1;"100nF";;;
22;"J2";"PinHeader_1x06_P2.54mm_Vertical";1;"BNO055 IMU";;;
23;"U2";"Converter_DCDC_TRACO_TSR2-xxxx_THT";1;"TSR2-2450";;;
24;"BT1";"BatteryHolder_Keystone_3034_1x20mm";1;"Battery_Cell";;;
25;"U3";"SOT-223-3_TabPin2";1;"LDL1117S33R";;;
26;"R6";"R_0402_1005Metric";1;"1k";;;
27;"J6";"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical";1;"HX711 GasWaage";;;
28;"U1";"ESP32-S3-DevKitC";1;"ESP32-S3-DevKitC";;;
29;"J7";"Molex_Micro-Fit_3.0_43045-1012_2x05_P3.00mm_Vertical";1;"LT452 Malibu";;;
30;"J1";"JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical";1;"Grauwasser";;;
